Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Deutschland,Florian Malmgren,Ballzauberer,,,22,45,55390,10260,5,2,7,7,8,1,14,3,3,8,4,1,16.10.2024 21:21,,1820001,
Türkei,Alpay Çeri,,,,25,37,3710,570,4,3,5,7,7,1,8,6,4,5,4,6,16.10.2024 21:21,,55000,
Brasilien,Iago Andrade,,,,22,59,16530,2030,21,3,5,7,7,2,8,10,4,7,6,7,16.10.2024 21:23,,400000,
Spanien,Chema Horna,,,,28,55,187750,37970,2,7,7,5,6,1,5,16,9,14,2,2,16.10.2024 21:23,,3299000,
Luxemburg,Fons Lehnertz,Ballzauberer,,,28,0,3910,1110,45,4,5,5,7,2,9,6,4,4,3,8,16.10.2024 21:24,Football Club Olympique Eischen,34000,
Japan,徹 (Akira) 村上 (Murakami),Ballzauberer,,,28,19,269800,90800,5,6,5,7,7,1,19,2,3,9,4,3,16.10.2024 21:25,Terbuni Puka,1236000,
Belize,Ian Croney,Ballzauberer,,,23,50,9840,2930,49,4,6,4,7,1,6,10,4,4,6,6,16.10.2024 21:26,rouscaille,26000,
Schweiz,Mark Schinck,,,,28,58,140900,13010,154,6,5,5,8,1,2,7,14,11,13,6,16.10.2024 21:28,,3835000,
Finnland,Veeti Sarja,,,1,28,2,307130,65710,176,8,7,7,7,1,5,17,11,11,6,1,16.10.2024 21:29,,4000000,
Andorra,Raül Vendrells,,,,22,38,63980,10110,10,3,5,7,8,1,14,4,9,5,5,5,16.10.2024 21:29,,3000000,
Dominikanische Republik,Fabián Perdomo,,,,23,4,1040,310,78,2,6,4,7,1,5,5,4,5,6,1,16.10.2024 21:29,,1000,
Polen,Adam Stotko,Ballzauberer,,,25,96,61690,6480,64,5,6,5,8,1,12,11,8,9,3,2,16.10.2024 21:29,,2300000,
USA,Nadeem Amer,,,,25,24,164150,49670,127,4,6,6,8,1,4,3,3,8,17,4,16.10.2024 21:29,,3200000,
Deutschland,Kyle Samperi,,,2,27,72,122740,42120,17,6,5,6,7,1,17,3,8,2,4,3,16.10.2024 21:29,,2000000,
Portugal,Damião Ascensão,,,,24,70,98220,18970,33,4,5,6,8,1,15,3,4,10,3,2,16.10.2024 21:29,,1695000,
Belgien,Giebe Spysschaert,,,,28,49,123960,37500,7,7,5,8,7,1,16,4,8,4,4,3,16.10.2024 21:29,,1400000,
Frankreich,Ferdinand Tisseyre,Ballzauberer,,,25,50,164860,25920,79,6,6,5,7,1,5,14,5,7,14,6,16.10.2024 21:30,,3999999,
USA,Tyler McSpadden,,,,28,13,211920,32890,4,8,5,6,7,1,3,15,3,8,15,4,16.10.2024 21:31,,4200000,
Deutschland,Mike Stainl,,,,22,42,4640,790,28,4,5,5,7,1,4,8,9,4,2,6,16.10.2024 21:32,,135000,
